	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL CNN/Nat	Emph URL Wiki/WP	Emph URL Wiki/WP	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes
model														
Llama-2-13b	0.128	0.112	0.392	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Llama-2-7b	0.008	0.008	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Llama-3-70B	0.024	0.088	0.664	0.744					0.0	0.0	0.0	0.0		
Llama-3-8B	0.088	0.328	0.904	0.936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gpt-4-turbo	0.48	0.664	0.92	0.952			0.0	0.0			0.0	0.0	0.0	0.0
tulu-7b	0.032	0.04	0.048	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
